postal_code,type,city_en
00100,CITY_ZONE,Colombo 01
00200,CITY_ZONE,Colombo 02
00300,CITY_ZONE,Colombo 03
00400,CITY_ZONE,Colombo 04
00500,CITY_ZONE,Colombo 05
00600,CITY_ZONE,Colombo 06
00700,CITY_ZONE,Colombo 07
00800,CITY_ZONE,Colombo 08
00900,CITY_ZONE,Colombo 09
01000,CITY_ZONE,Colombo 10
01100,CITY_ZONE,Colombo 11
01200,CITY_ZONE,Colombo 12
01300,CITY_ZONE,Colombo 13
01400,CITY_ZONE,Colombo 14
01500,CITY_ZONE,Colombo 15
40150,POST_OFFICE,Achchuvely
41160,POST_OFFICE,Adampan
32350,POST_OFFICE,Addalaichenai
20713,POST_OFFICE,Adhikarigama
61012,POST_OFFICE,Adippala
12200,POST_OFFICE,Agalawatta
80212,POST_OFFICE,Agaliya
22094,POST_OFFICE,Agarapathana
31304,POST_OFFICE,Agbopura
80650,POST_OFFICE,Ahangama
80562,POST_OFFICE,Ahungalla
11536,POST_OFFICE,Akaragama
10732,POST_OFFICE,Akarawita
70082,POST_OFFICE,Akarella
32400,POST_OFFICE,Akkarapattu
90166,POST_OFFICE,Akkaraseeya
42425,POST_OFFICE,Akkarayankulam
80090,POST_OFFICE,Akmeemana
21142,POST_OFFICE,Akuramboda
20850,POST_OFFICE,Akurana
81400,POST_OFFICE,Akuressa
60416,POST_OFFICE,Alahenegama
60182,POST_OFFICE,Alahitiyawa
70132,POST_OFFICE,Alakola Ella
42005,POST_OFFICE,Alampil
81475,POST_OFFICE,Alapaladeniya
40120,POST_OFFICE,Alaveddy
11122,POST_OFFICE,Alawala
20140,POST_OFFICE,Alawatugoda
71204,POST_OFFICE,Alawatura
60047,POST_OFFICE,Alawatuwala
60280,POST_OFFICE,Alawwa
71607,POST_OFFICE,Algama
42565,POST_OFFICE,Aliyawalai
40048,POST_OFFICE,Allaipiddy
12524,POST_OFFICE,Alubomulla
20062,POST_OFFICE,Aludeniya
90736,POST_OFFICE,Aluketiyawa
12080,POST_OFFICE,Aluthgama
71508,POST_OFFICE,Aluthnuwara
90722,POST_OFFICE,Aluththarama
80332,POST_OFFICE,Aluthwala
51014,POST_OFFICE,Aluthwewa
40635,POST_OFFICE,Alvai
21004,POST_OFFICE,Alwatta
90108,POST_OFFICE,Ambadandegama
20986,POST_OFFICE,Ambagahapelassa
90326,POST_OFFICE,Ambagahawatte
22678,POST_OFFICE,Ambagamuwa Udabulathgama
90300,POST_OFFICE,Ambagasdowa
11052,POST_OFFICE,Ambagaspitiya
61024,POST_OFFICE,Ambakandawila
60036,POST_OFFICE,Ambakote
71546,POST_OFFICE,Ambalakanda
80300,POST_OFFICE,Ambalangoda
82100,POST_OFFICE,Ambalantota
21504,POST_OFFICE,Ambana
22284,POST_OFFICE,Ambanella
60650,POST_OFFICE,Ambanpola
22686,POST_OFFICE,Ambatalawa
20136,POST_OFFICE,Ambatenna
11212,POST_OFFICE,Ambepussa
22216,POST_OFFICE,Ambewela
71503,POST_OFFICE,Ambulugala
71320,POST_OFFICE,Amitirigala
71232,POST_OFFICE,Ampagala
32000,POST_OFFICE,Ampara
80204,POST_OFFICE,Ampegama
30162,POST_OFFICE,Ampilanthurai
20160,POST_OFFICE,Ampitiya
80422,POST_OFFICE,Amugoda
90204,POST_OFFICE,Amunumulla
40198,POST_OFFICE,Anaicoddai
40280,POST_OFFICE,Analaithivu
61500,POST_OFFICE,Anamaduwa
80044,POST_OFFICE,Anangoda
21077,POST_OFFICE,Andawala Lihinipitiya
11558,POST_OFFICE,Andiambalama
61508,POST_OFFICE,Andigama
50112,POST_OFFICE,Andiyagala
50248,POST_OFFICE,Angamuwa
80122,POST_OFFICE,Angulugaha
82220,POST_OFFICE,Angunakolapelessa
91302,POST_OFFICE,Angunakolawewa
61264,POST_OFFICE,Angunawila
12320,POST_OFFICE,Anguruwatota
60074,POST_OFFICE,Anhandiya
71403,POST_OFFICE,Anhettigama
80048,POST_OFFICE,Ankokkawala
20150,POST_OFFICE,Ankumbura
60214,POST_OFFICE,Anukkane
50033,POST_OFFICE,Anura Wijayapura
50000,POST_OFFICE,Anuradhapura
81032,POST_OFFICE,Aparekka
60243,POST_OFFICE,Arachchikattuwa
60308,POST_OFFICE,Aragoda
51100,POST_OFFICE,Aralaganwila
71540,POST_OFFICE,Aranayaka
90017,POST_OFFICE,Arawa
90532,POST_OFFICE,Arawakumbura
90712,POST_OFFICE,Arawatte
30150,POST_OFFICE,Arayampathy
41060,POST_OFFICE,Arippu
71041,POST_OFFICE,Aruggammana
51072,POST_OFFICE,Aselapura
20574,POST_OFFICE,Atabage
70294,POST_OFFICE,Atakalanpanna
90542,POST_OFFICE,Atakiriya
71363,POST_OFFICE,Atale
60706,POST_OFFICE,Ataragalla
21512,POST_OFFICE,Ataragallewa
41180,POST_OFFICE,Aththimottai
10150,POST_OFFICE,Athurugiriya
11120,POST_OFFICE,Attanagalla
51235,POST_OFFICE,Attanakadawala
61328,POST_OFFICE,Attawilluwa
81402,POST_OFFICE,Aturaliya
50169,POST_OFFICE,Awukana
60462,POST_OFFICE,Awulegama
70024,POST_OFFICE,Ayagama
30362,POST_OFFICE,Ayithiyamalai
91516,POST_OFFICE,Ayiwela
11538,POST_OFFICE,Badalgama
91070,POST_OFFICE,Badalkumbura
80200,POST_OFFICE,Baddegama
90000,POST_OFFICE,Badulla
90019,POST_OFFICE,Baduluoya
91058,POST_OFFICE,Baduluwela
12230,POST_OFFICE,Baduraliya
51250,POST_OFFICE,Bakamuna
30206,POST_OFFICE,Bakiella
91554,POST_OFFICE,Bakinigahawela
31028,POST_OFFICE,Bakmeegama
32024,POST_OFFICE,Bakmitiyawa
91295,POST_OFFICE,Balaharuwa
60604,POST_OFFICE,Balalla
20308,POST_OFFICE,Balana
70100,POST_OFFICE,Balangoda
80550,POST_OFFICE,Balapitiya
90092,POST_OFFICE,Ballaketuwa
20644,POST_OFFICE,Bambaragahaela
21212,POST_OFFICE,Bambaragaswewa
90322,POST_OFFICE,Bambarapana
60347,POST_OFFICE,Bamunakotuwa
80143,POST_OFFICE,Banagala
82005,POST_OFFICE,Bandagiriya Colony
60424,POST_OFFICE,Bandara Koswatta
12530,POST_OFFICE,Bandaragama
90100,POST_OFFICE,Bandarawela
11244,POST_OFFICE,Banduragoda
61238,POST_OFFICE,Bangadeniya
61262,POST_OFFICE,Baranankattuwa
82110,POST_OFFICE,Barawakumbuka
20967,POST_OFFICE,Barawardhanaoya
20154,POST_OFFICE,Batagolladeniya
80320,POST_OFFICE,Batapola
70504,POST_OFFICE,Batatota
10513,POST_OFFICE,Batawala
